GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MockProject,praktikum,Bun,15,0,0,0,6,0,3,0,3,0
MockProject,praktikum,IngredientType,0,24,0,0,0,3,0,1,0,1
MockProject,praktikum,Burger,0,133,0,4,0,23,0,9,0,7
MockProject,praktikum,Database,106,0,0,0,15,0,3,0,3,0
MockProject,praktikum,Ingredient,6,15,0,0,2,6,2,2,2,2
MockProject,praktikum,Praktikum,59,0,0,0,14,0,2,0,2,0
